8837,1286,Miraj Latur Special,Miraj Junction,Latur
8838,51431,Miraj Londa Passenger,Miraj Junction,Londa Junction
8839,1486,Miraj Pandharpur Ekadashi Special,Miraj Junction,Pandharpur
8840,1494,Miraj Pandharpur Ekadashi Special,Miraj Junction,Pandharpur
8841,1406,Miraj Pandharpur Kartiki Ekadashi Special,Miraj Junction,Pandharpur
8842,1284,Miraj Pandharpur Special,Miraj Junction,Pandharpur
8843,22146,Miraj Pandharpur Super Fast Express,Miraj Junction,Pandharpur
8844,51426,Miraj Parli Vaijnath Passenger,Miraj Junction,Parli Vaijnath
8845,71417,Miraj Scsmt Kolhapur DEMU,Miraj Junction,Chhatrapati Shahu Maharaj Terminus Kolhapur
8846,71421,Miraj Scsmt Kolhapur DEMU,Miraj Junction,Chhatrapati Shahu Maharaj Terminus Kolhapur
8847,11310,Miraj Solapur Express,Miraj Junction,Solapur Junction
8848,22156,Miraj Solapur Super Fast Express,Miraj Junction,Solapur Junction
8849,77678,Miryalaguda Kacheguda DEMU,Miryalaguda,Kacheguda
8850,67218,Miryalaguda Kacheguda MEMU,Miryalaguda,Kacheguda
8851,7974,Miryalaguda Nadikude MEMU Special,Miryalaguda,Kacheguda
8852,77676,Miryalaguda Piduguralla DEMU,Miryalaguda,Piduguralla
8853,67216,Miryalaguda Piduguralla MEMU,Miryalaguda,Piduguralla
8854,7277,Miryalguda Nadikude MEMU Special,Miryalaguda,Nadikude Junction
8855,57503,Mirzapalli Bodhan Passenger,Mirzapalli,Bodhan
8856,57486,Mirzapalli Kacheguda Passenger,Mirzapalli,Kacheguda
8857,13022,Mithila Express,Raxaul Junction,Howrah Junction
8858,13021,Mithila Express,Howrah Junction,Raxaul Junction
8859,3022,Mithila Festival Special,Raxaul Junction,Howrah Junction
8860,3021,Mithila Festival Special,Howrah Junction,Raxaul Junction
8861,3156,Mithilanchal Covid 19 Special,Sitamarhi Junction,Kolkata
8862,13155,Mithilanchal Express,Kolkata,Sitamarhi Junction
8863,13156,Mithilanchal Express,Sitamarhi Junction,Kolkata
8864,3155,Mithilanchal Special,Kolkata,Sitamarhi Junction
8865,1793,MKM-BWT Memu,Marikuppam,Bangarapet Junction
8866,59152,Modasa - Nadiad Passenger,Modasa,Nadiad Junction
8867,59154,Modasa - Nadiad Passenger,Modasa,Nadiad Junction
8868,79462,Modasa Nadiad DEMU,Modasa,Nadiad Junction
8869,79464,Modasa Nadiad DEMU,Modasa,Nadiad Junction
8870,22486,Moga New Delhi Intercity Super Fast Express,Moga,New Delhi
8871,4082,Moga New Delhi Intercity Super Fast Special,Moga,New Delhi
8872,63274,Mokama Barauni MEMU,Mokama Junction,Barauni Junction
8873,63276,Mokama Barauni MEMU,Mokama Junction,Barauni Junction
8874,63217,Mokama Danapur MEMU,Mokama Junction,Danapur
8875,13030,Mokama Howrah Express,Mokama Junction,Howrah Junction
8876,3030,Mokama Howrah Express Special,Mokama Junction,Howrah Junction
8877,53050,Mokama Howrah Fast Passenger,Mokama Junction,Howrah Junction
8878,63572,Mokama Jasidih MEMU,Mokama Junction,Jasidih Junction
8879,3572,Mokama Jasidih MEMU Special,Mokama Junction,Jasidih Junction
8880,63204,Mokama Kiul Memu,Mokama Junction,Kiul Junction
8881,3210,Mokama Kiul MEMU Special,Mokama Junction,Kiul Junction
8882,63221,Mokama Patna Fast MEMU,Mokama Junction,Patna Junction
8883,3279,Mokama Patna Fast MEMU Special,Mokama Junction,Patna Junction
8884,63271,Mokama Patna MEMU,Mokama Junction,Patna Junction
8885,67208,Moore Market Complex Gudur Memu,Chennai Central Suburban,Gudur Junction
8886,54393,Moradabad - Gajraula Passenger,Moradabad Junction,Gajraula Junction
8887,54305,Moradabad - Hapur Passenger,Moradabad Junction,Hapur Junction
8888,55323,Moradabad - Ramnagar Fast Passenger,Moradabad Junction,Ramnagar
8889,64553,Moradabad Anand Vihar Terminal MEMU,Moradabad Junction,Anand Vihar Terminus
8890,4366,Moradabad Bareilly Express Special,Moradabad Junction,Bareilly Junction
8891,54312,Moradabad Bareilly Passenger,Moradabad Junction,Bareilly Junction
8892,54314,Moradabad Chandausi Passenger,Moradabad Junction,Chandausi Junction
8893,54055,Moradabad Delhi Passenger,Moradabad Junction,Delhi Junction
8894,54075,Moradabad Delhi Passenger,Sitapur City Junction,Delhi Junction
8895,54307,Moradabad Delhi Passenger,Moradabad Junction,Delhi Junction
8896,4335,Moradabad Ghaziabad MEMU Express Special,Moradabad Junction,Ghaziabad Junction
8897,55311,Moradabad Kashipur Passenger,Moradabad Junction,Kashipur Junction
8898,5353,Moradabad Kashipur Passenger Special,Moradabad Junction,Kashipur Junction
8899,5363,Moradabad Kathgodam Express Special,Moradabad Junction,Kathgodam
8900,5332,Moradabad Kathgodam Express Special,Moradabad Junction,Kathgodam
8901,55301,Moradabad Kathgodam Passenger,Moradabad Junction,Kathgodam
8902,55303,Moradabad Kathgodam Passenger,Moradabad Junction,Kathgodam
8903,54395,Moradabad Najibabad Passenger,Moradabad Junction,Najibabad Junction
8904,5355,Moradabad Ramnagar,Moradabad Junction,Ramnagar
8905,25013,Moradabad Ramnagar - Corbett Park Link Express,Moradabad Junction,Ramnagar
8906,25035,Moradabad Ramnagar Express,Moradabad Junction,Ramnagar
8907,5365,Moradabad Ramnagar Express Special,Moradabad Junction,Ramnagar
8908,5367,Moradabad Ramnagar Express Special,Moradabad Junction,Ramnagar
8909,55307,Moradabad Ramnagar Fast Passenger,Moradabad Junction,Ramnagar
8910,55305,Moradabad Ramnagar Passenger,Moradabad Junction,Ramnagar
8911,55309,Moradabad Ramnagar Passenger,Moradabad Junction,Ramnagar
8912,55321,Moradabad Ramnagar Passenger,Moradabad Junction,Ramnagar
8913,5334,Moradabad Ramnagar Passenger Special,Moradabad Junction,Ramnagar
8914,4301,Moradabad Saharanpur Express Special,Moradabad Junction,Saharanpur Junction
8915,64565,Moradabad Saharanpur MEMU,Moradabad Junction,Saharanpur Junction
8916,74302,Moradabad Sambhal Hatim Sarai DEMU,Moradabad Junction,Sambhal Hatim Sarai
8917,74304,Moradabad Sambhal Hatim Sarai DEMU,Moradabad Junction,Sambhal Hatim Sarai
8918,74306,Moradabad Sambhal Hatim Sarai DEMU,Moradabad Junction,Sambhal Hatim Sarai
8919,4344,Moradabad Sambhal Hatim Sarai DEMU Express Special,Moradabad Junction,Sambhal Hatim Sarai
8920,4326,Moradabad Sambhal Hatim Sarai Express Special,Moradabad Junction,Sambhal Hatim Sarai
8921,54398,Moradabad Sambhal Hatim Sarai Passenger,Moradabad Junction,Sambhal Hatim Sarai
8922,79449,Morbi Maliya Miyana DEMU,Morbi,Maliya Miyana Junction
8923,9562,Morbi Wankaner DEMU Special,Morbi,Wankaner Junction
8924,79442,Morbi Wankaner Dmu,Morbi,Wankaner Junction
8925,79444,Morbi Wankaner Dmu,Morbi,Wankaner Junction
8926,79446,Morbi Wankaner Dmu,Morbi,Wankaner Junction
8927,79448,Morbi Wankaner Dmu,Morbi,Wankaner Junction
8928,79452,Morbi Wankaner Dmu,Morbi,Wankaner Junction
8929,9440,Morbi Wankaner Dmu Special,Morbi,Wankaner Junction
8930,9442,Morbi Wankaner Dmu Special,Morbi,Wankaner Junction
8931,9444,Morbi Wankaner Dmu Special,Morbi,Wankaner Junction
8932,9586,Morbi Wankaner Special,Morbi,Wankaner Junction
8933,12491,Mour Dhwaj Express,Barauni Junction,Jammu Tawi
8934,12492,Mour Dhwaj Express,Jammu Tawi,Barauni Junction
8935,4697,Mour Dhwaj Superfast Special,Barauni Junction,Jammu Tawi
8936,4698,Mour Dhwaj Superfast Special,Jammu Tawi,Barauni Junction
8937,8097,Msae Bqa Memu SPL,Mustaphachak,Bankura Junction
8938,14726,MTJ BNW Express,Mathura Junction,Bhiwani Junction
8939,53610,Mughal Sarai - Dehri On Sone Passenger,Mughalsarai,Dehri On Sone
8940,53614,Mughal Sarai - Gaya Fast Passenger,Mughalsarai,Gaya Junction
8941,54267,Mughal Sarai - Varanasi Passenger,Pt. Deen Dayal Upadhyaya Junction,Varanasi Junction
8942,54105,Mughalsarai Allahabad Passenger,Mughalsarai,Prayagraj Junction
8943,8884,Mukh Mantri Tirtha Yatra,Kamakhya Junction,Raj Nandgaon
8944,8883,Mukh Mantri Tirtha Yatra,Dwarka,Veraval Junction
8945,12931,Mumbai Ahmedabad AC Double Decker Express,Mumbai Central,Ahmedabad Junction
8946,2931,Mumbai Ahmedabad AC Double Decker Special,Mumbai Central,Ahmedabad Junction
8947,82901,Mumbai Ahmedabad Irctc Tejas Express,Mumbai Central,Ahmedabad Junction
8948,59439,Mumbai Ahmedabad Passenger,Mumbai Central,Ahmedabad Junction
8949,59441,Mumbai Ahmedabad Passenger,Mumbai Central,Ahmedabad Junction
8950,2009,Mumbai Ahmedabad Shatabdi Special,Mumbai Central,Ahmedabad Junction
8951,19451,Mumbai Bandra - Gandhidham Express,Bandra Terminus,Gandhidham Junction
8952,12216,Mumbai Bandra Delhi Sarai Rohilla Garib Rath Express,Bandra Terminus,Delhi Sarai Rohilla
8953,22933,Mumbai Bandra Jaipur Super Fast Express,Bandra Terminus,Jaipur Junction
8954,22444,Mumbai Bandra Kanpur Super Fast Express,Bandra Terminus,Kanpur Central
8955,82909,Mumbai Bandra Mangaluru Suvidha Special,Bandra Terminus,Mangaluru Junction
8956,22935,Mumbai Bandra Palitana Super Fast Express,Bandra Terminus,Palitana
8957,9231,Mumbai Central Hapa Special,Mumbai Central,Hapa
8958,12111,Mumbai CSMT Amravati Super Fast Express,Chhatrapati Shivaji Maharaj Terminus,Amravati?ÿTerminal
8959,11057,Mumbai CSMT Amritsar Express,Chhatrapati Shivaji Maharaj Terminus,Amritsar Junction
8960,12362,Mumbai CSMT Asansol Super Fast Express,Chhatrapati Shivaji Maharaj Terminus,Asansol Junction
8961,2362,Mumbai CSMT Asansol Super Fast Special,Chhatrapati Shivaji Maharaj Terminus,Asansol Junction
8962,1245,Mumbai CSMT Bhagalpur Super Fast Festival Special,Chhatrapati Shivaji Maharaj Terminus,Bhagalpur Junction
8963,51153,Mumbai CSMT Bhusaval Passenger,Chhatrapati Shivaji Maharaj Terminus,Bhusaval Junction
8964,22143,Mumbai CSMT Bidar Super Fast Express,Chhatrapati Shivaji Maharaj Terminus,Bidar
8965,2043,Mumbai CSMT Bidar Super Fast Special,Chhatrapati Shivaji Maharaj Terminus,Bidar
8966,1063,Mumbai CSMT Chennai AC Special Fare Weekly Special,Panvel Junction,Ratnagiri
8967,22157,Mumbai CSMT Chennai Egmore Super Fast Mail,Chhatrapati Shivaji Maharaj Terminus,Chennai Egmore
8968,1139,Mumbai CSMT Gadag Covid 19 Special Express,Chhatrapati Shivaji Maharaj Terminus,Gadag Junction
8969,11139,Mumbai CSMT Gadag Express,Chhatrapati Shivaji Maharaj Terminus,Gadag Junction
8970,12598,Mumbai CSMT Gorakhpur Antyodaya Express,Chhatrapati Shivaji Maharaj Terminus,Gorakhpur Junction
8971,2598,Mumbai CSMT Gorakhpur Special Fare Special,Chhatrapati Shivaji Maharaj Terminus,Gorakhpur Junction
8972,1129,Mumbai CSMT Gorakhpur Summer Special,Chhatrapati Shivaji Maharaj Terminus,Gorakhpur Junction
8973,22221,Mumbai CSMT Hazrat Nizamuddin Rajdhani Express,Chhatrapati Shivaji Maharaj Terminus,Hazrat Nizamuddin
8974,17612,Mumbai CSMT Hazur Sahib Nanded Rajya Rani Express,Chhatrapati Shivaji Maharaj Terminus,Hazur Sahib Nanded
8975,7612,Mumbai CSMT Hazur Sahib Nanded Rajya Rani Special,Chhatrapati Shivaji Maharaj Terminus,Hazur Sahib Nanded
8976,12261,Mumbai CSMT Howrah AC Duronto Express,Chhatrapati Shivaji Maharaj Terminus,Howrah Junction
8977,2095,Mumbai CSMT Howrah AC Duronto Special,Chhatrapati Shivaji Maharaj Terminus,Howrah Junction
8978,2809,Mumbai CSMT Howrah Covid 19 Superfast Mail,Chhatrapati Shivaji Maharaj Terminus,Howrah Junction
8979,12809,Mumbai CSMT Howrah Mail,Chhatrapati Shivaji Maharaj Terminus,Howrah Junction
8980,12322,Mumbai CSMT Howrah Mail,Chhatrapati Shivaji Maharaj Terminus,Howrah Junction
8981,2322,Mumbai CSMT Howrah Mail Special Fare Special,Chhatrapati Shivaji Maharaj Terminus,Howrah Junction
8982,12869,Mumbai CSMT Howrah Weekly Super Fast Express,Chhatrapati Shivaji Maharaj Terminus,Howrah Junction
8983,2469,Mumbai CSMT Howrah Weekly Super Fast Special,Chhatrapati Shivaji Maharaj Terminus,Howrah Junction
8984,17031,Mumbai CSMT Hyderabad Express,Chhatrapati Shivaji Maharaj Terminus,Hyderabad Deccan
8985,7031,Mumbai CSMT Hyderabad Special,Chhatrapati Shivaji Maharaj Terminus,Hyderabad Deccan
8986,12188,Mumbai CSMT Jabalpur Garib Rath Express,Chhatrapati Shivaji Maharaj Terminus,Jabalpur Junction
8987,2188,Mumbai CSMT Jabalpur Garib Rath Special,Chhatrapati Shivaji Maharaj Terminus,Jabalpur Junction
8988,2271,Mumbai CSMT Jalna Janshatabdi Special,Chhatrapati Shivaji Maharaj Terminus,Jalna
8989,16381,Mumbai CSMT Kanniyakumari Express,Chhatrapati Shivaji Maharaj Terminus,Kanniyakumari
8990,82452,Mumbai CSMT Kanpur Suvidha Special,Chhatrapati Shivaji Maharaj Terminus,Kanpur Central
8991,22119,Mumbai CSMT Karmali Tejas Express,Chhatrapati Shivaji Maharaj Terminus,Karmali
8992,2119,Mumbai CSMT Karmali Tejas Special,Chhatrapati Shivaji Maharaj Terminus,Karmali
8993,22107,Mumbai CSMT Latur Super Fast Express,Chhatrapati Shivaji Maharaj Terminus,Latur
8994,2207,Mumbai CSMT Latur Super Fast Special,Chhatrapati Shivaji Maharaj Terminus,Latur
8995,82107,Mumbai CSMT Lucknow Suvidha Special,Chhatrapati Shivaji Maharaj Terminus,Lucknow Charbagh NR
8996,2011,Mumbai CSMT Lucknow Weekly Super Fast Special Fare Special,New Delhi,Kalka
8997,1151,Mumbai CSMT Madgaon Jan Shatabdi Special,Chhatrapati Shivaji Maharaj Terminus,Madgaon Junction
8998,12133,Mumbai CSMT Mangaluru Junction Super Fast Express,Chhatrapati Shivaji Maharaj Terminus,Mangaluru Junction
8999,1133,Mumbai CSMT Mangaluru Junction Super Fast Special,Chhatrapati Shivaji Maharaj Terminus,Mangaluru Junction
9000,22159,Mumbai CSMT MGR Chennai Express,Chhatrapati Shivaji Maharaj Terminus,Puratchi Thalaivar Dr. MGR Central
9001,11027,Mumbai CSMT MGR Chennai Mail,Dadar Central,Pandharpur
9002,1459,Mumbai CSMT MGR Chennai Super Fast Special,Chhatrapati Shivaji Maharaj Terminus,Puratchi Thalaivar Dr. MGR Central
9003,16351,Mumbai CSMT Nagercoil Balaji Express,Chhatrapati Shivaji Maharaj Terminus,Nagercoil Junction
9004,16339,Mumbai CSMT Nagercoil Express,Chhatrapati Shivaji Maharaj Terminus,Nagercoil Junction
9005,6351,Mumbai CSMT Nagercoil Festival Special,Chhatrapati Shivaji Maharaj Terminus,Nagercoil Junction
9006,6339,Mumbai CSMT Nagercoil Special,Chhatrapati Shivaji Maharaj Terminus,Nagercoil Junction
9007,12289,Mumbai CSMT Nagpur Duronto Express,Chhatrapati Shivaji Maharaj Terminus,Nagpur Junction
9008,1247,Mumbai CSMT Nagpur Festival Special,Chhatrapati Shivaji Maharaj Terminus,Nagpur Junction
9009,2031,Mumbai CSMT Nagpur Super Fast Special,Pune Junction,Gorakhpur Junction
9010,1011,Mumbai CSMT Nagpur Super Fast Special Fare Special,Chhatrapati Shivaji Maharaj Terminus,Nagpur Junction
9011,51027,Mumbai CSMT Pandharpur Fast Passenger,Chhatrapati Shivaji Maharaj Terminus,Pandharpur
9012,3260,Mumbai CSMT Patna Special Fare Super Fast Special,Chhatrapati Shivaji Maharaj Terminus,Patna Junction
9013,82356,Mumbai CSMT Patna Suvidha Express,Chhatrapati Shivaji Maharaj Terminus,Patna Junction
9014,12127,Mumbai CSMT Pune Intercity Super Fast Express,Chhatrapati Shivaji Maharaj Terminus,Pune Junction
9015,2015,Mumbai CSMT Rewa One Way Special,Chhatrapati Shivaji Maharaj Terminus,Pune Junction
9016,51033,Mumbai CSMT Sainagar Shirdi Fast Passenger,Daund Junction,Sainagar Shirdi Terminus
9017,1123,Mumbai CSMT Santragachi AC Superfast Special Fare Special,Pune Junction,Danapur
9018,1105,Mumbai CSMT Sawantwadi Road Ganapati Special,Kolkata,Jhansi Junction
9019,1109,Mumbai CSMT Sawantwadi Road Ganapati Special,Lokmanya Tilak Terminus,Manduadih
9020,1227,Mumbai CSMT Sawantwadi Road Ganapati Special,Chhatrapati Shivaji Maharaj Terminus,Sawantwadi Road
9021,82111,Mumbai CSMT Shalimar Suvidha Superfast Special,Chhatrapati Shivaji Maharaj Terminus,Kolkata Shalimar
9022,11305,Mumbai CSMT Solapur Express To Be INT,Mumbai,Solapur Junction
9023,16331,Mumbai CSMT Thiruvananthapuram Weekly Express,Chhatrapati Shivaji Maharaj Terminus,Trivandrum Central
9024,51029,Mumbai CSMT Vijayapura Fast Passenger,Chhatrapati Shivaji Maharaj Terminus,Vijayapura
9025,17411,Mumbai CST - Kolhapur Mahalaxmi Express,Chhatrapati Shivaji Maharaj Terminus,Chhatrapati Shahu Maharaj Terminus Kolhapur
9026,2171,Mumbai CST Jammu Tawi AC Super Fast Special,Lokmanya Tilak Terminus,Haridwar
9027,1181,Mumbai CST Manduadih Special,Lokmanya Tilak Terminus,Danapur
9028,1177,Mumbai CST Patna Unreserved Special,Lokmanya Tilak Terminus,Bhagalpur Junction
9029,19023,Mumbai Firozpur Janta Express,Mumbai Central,Firozpur Cantonment Junction
9030,12009,Mumbai Gandhinagar Capital Shatabdi Express,Mumbai Central,Gandhinagar Capital
9031,12239,Mumbai Hisar AC Duronto Express,Mumbai Central,Hisar Junction
9032,9229,Mumbai Hisar AC Duronto Special,Mumbai Central,Hisar Junction
9033,12227,Mumbai Indore AC Duronto Express,Mumbai Central,Indore Junction
9034,9227,Mumbai Indore AC Duronto Special,Mumbai Central,Indore Junction
9035,12955,Mumbai Jaipur Super Fast Express,Mumbai Central,Jaipur Junction
9036,2955,Mumbai Jaipur Superfast Special,Mumbai Central,Jaipur Junction
9037,12563,Mumbai LTT - Allahabad Express,Lokmanya Tilak Terminus,Faizabad Junction
9038,1047,Mumbai LTT - Gorakhpur Special,Lokmanya Tilak Terminus,Gorakhpur Junction
9039,1043,Mumbai LTT - Karmali AC Specialfare Special,Lokmanya Tilak Terminus,Karmali
9040,2111,Mumbai LTT - Lucknow AC Special,Chhatrapati Shivaji Maharaj Terminus,Amravati?ÿTerminal
9041,1057,Mumbai LTT - Muzaffarpur Special,Chhatrapati Shivaji Maharaj Terminus,Amritsar Junction
9042,1091,Mumbai LTT - Ratnagiri Specialfare Special,Chhatrapati Shivaji Maharaj Terminus,Danapur
9043,11201,Mumbai LTT Ajni Express,Lokmanya Tilak Terminus,Ajni
9044,11053,Mumbai LTT Azamgarh Weekly Express,Lokmanya Tilak Terminus,Azamgarh
9045,12167,Mumbai LTT Banaras Super Fast Express,Lokmanya Tilak Terminus,Banaras
9046,2167,Mumbai LTT Banaras Super Fast Special Fare Special,Lokmanya Tilak Terminus,Banaras
9047,5540,Mumbai LTT Barauni Special,Lokmanya Tilak Terminus,Barauni Junction
9048,14313,Mumbai LTT Bareilly Weekly Express,Lokmanya Tilak Terminus,Bareilly Junction
9049,4313,Mumbai LTT Bareilly Weekly Special,Lokmanya Tilak Terminus,Bareilly Junction
9050,12336,Mumbai LTT Bhagalpur Super Fast Express,Lokmanya Tilak Terminus,Bhagalpur Junction
9051,2336,Mumbai LTT Bhagalpur Super Fast Special,Lokmanya Tilak Terminus,Bhagalpur Junction
9052,2879,Mumbai LTT Bhubaneswar Puja Special,Lokmanya Tilak Terminus,Bhubaneswar
9053,12879,Mumbai LTT Bhubaneswar Super Fast Express,Lokmanya Tilak Terminus,Bhubaneswar
9054,11075,Mumbai LTT Bidar Express,Lokmanya Tilak Terminus,Bidar
9055,15102,Mumbai LTT Chhapra Antyodaya Express,Lokmanya Tilak Terminus,Chhapra?ÿJunction
9056,5102,Mumbai LTT Chhapra Festival Special,Lokmanya Tilak Terminus,Chhapra?ÿJunction
9057,11059,Mumbai LTT Chhapra Godan Express,Lokmanya Tilak Terminus,Chhapra?ÿJunction
9058,1059,Mumbai LTT Chhapra Godan Special,Lokmanya Tilak Terminus,Chhapra?ÿJunction
9059,11013,Mumbai LTT Coimbatore Express,Lokmanya Tilak Terminus,Coimbatore Junction
9060,1013,Mumbai LTT Coimbatore Special,Lokmanya Tilak Terminus,Coimbatore Junction
9061,1269,Mumbai LTT Danapur Festival Special,Lokmanya Tilak Terminus,Danapur
9062,12223,Mumbai LTT Ernakulam AC Duronto Express,Lokmanya Tilak Terminus,Ernakulam Junction
9063,1223,Mumbai LTT Ernakulam Duronto Special,Lokmanya Tilak Terminus,Ernakulam Junction
9064,22103,Mumbai LTT Faizabad Super Fast Express,Lokmanya Tilak Terminus,Ayodhya Cantonment
9065,2049,Mumbai LTT Faizabad Super Fast Special,Lokmanya Tilak Terminus,Faizabad Junction
9066,1235,Mumbai LTT Gorakhpur AC Festival Special,Lokmanya Tilak Terminus,Gorakhpur Junction
9067,5064,Mumbai LTT Gorakhpur Covid 19 Special,Lokmanya Tilak Terminus,Gorakhpur Junction
9068,11079,Mumbai LTT Gorakhpur Express,Lokmanya Tilak Terminus,Gorakhpur Junction
9069,15064,Mumbai LTT Gorakhpur Express,Lokmanya Tilak Terminus,Gorakhpur Junction
9070,1079,Mumbai LTT Gorakhpur Festival Special,Lokmanya Tilak Terminus,Gorakhpur Junction
9071,11055,Mumbai LTT Gorakhpur Godan Express,Lokmanya Tilak Terminus,Gorakhpur Junction
9072,1055,Mumbai LTT Gorakhpur Godan Special,Lokmanya Tilak Terminus,Gorakhpur Junction
9073,1263,Mumbai LTT Gorakhpur One Trip Festival Special,Lokmanya Tilak Terminus,Gorakhpur Junction
9074,2542,Mumbai LTT Gorakhpur Sant Kabir Dham Covid 19 Super Fast Special,Lokmanya Tilak Terminus,Gorakhpur Junction
9075,12542,Mumbai LTT Gorakhpur Sant Kabir Dham Super Fast Express,Lokmanya Tilak Terminus,Gorakhpur Junction
9076,20103,Mumbai LTT Gorakhpur Sant Kabir Dham Super Fast Express,Lokmanya Tilak Terminus,Gorakhpur Junction
9077,2103,Mumbai LTT Gorakhpur Sant Kabir Dham Super Fast Special,Lokmanya Tilak Terminus,Gorakhpur Junction
9078,2165,Mumbai LTT Gorakhpur Special Fare Super Fast Special,Lokmanya Tilak Terminus,Gorakhpur Junction
9079,11081,Mumbai LTT Gorakhpur Weekly Express,Lokmanya Tilak Terminus,Gorakhpur Junction
9080,1081,Mumbai LTT Gorakhpur Weekly Special,Lokmanya Tilak Terminus,Gorakhpur Junction
9081,1241,Mumbai LTT Gorakhpur Weekly Super Fast Festival Special,Lokmanya Tilak Terminus,Gorakhpur Junction
9082,15647,Mumbai LTT Guwahati Express,Lokmanya Tilak Terminus,Guwahati
9083,15645,Mumbai LTT Guwahati Express,Lokmanya Tilak Terminus,Guwahati
9084,5647,Mumbai LTT Guwahati Special,Lokmanya Tilak Terminus,Guwahati
9085,5645,Mumbai LTT Guwahati Special,Lokmanya Tilak Terminus,Guwahati
9086,12153,Mumbai LTT Habibganj Super Fast Express,Lokmanya Tilak Terminus,Rani Kamlapati
9087,2153,Mumbai LTT Habibganj Super Fast Special,Lokmanya Tilak Terminus,Habibganj
9088,12171,Mumbai LTT Haridwar AC Express,Lokmanya Tilak Terminus,Haridwar
9089,12811,Mumbai LTT Hatia Super Fast Express,Lokmanya Tilak Terminus,Hatia
9090,8226,Mumbai LTT Hatia Super Fast Festival Special,Lokmanya Tilak Terminus,Hatia
9091,2811,Mumbai LTT Hatia Weekly Super Fast Festival Special,Lokmanya Tilak Terminus,Hatia
9092,22109,Mumbai LTT Hazrat Nizamuddin AC Super Fast Express,Lokmanya Tilak Terminus,Hazrat Nizamuddin
9093,11011,Mumbai LTT Hazur Sahib Nanded Express,Lokmanya Tilak Terminus,Hazur Sahib Nanded
9094,17222,Mumbai LTT Kakinada Port Express,Lokmanya Tilak Terminus,Kakinada Port
9095,7222,Mumbai LTT Kakinada Port Special,Lokmanya Tilak Terminus,Kakinada Port
9096,12519,Mumbai LTT Kamakhya AC Super Fast Express,Lokmanya Tilak Terminus,Kamakhya Junction
9097,2519,Mumbai LTT Kamakhya AC Super Fast Special,Lokmanya Tilak Terminus,Kamakhya Junction
9098,22511,Mumbai LTT Kamakhya Karmabhoomi Express,Lokmanya Tilak Terminus,Kamakhya Junction
9099,2255,Mumbai LTT Kamakhya Karmabhoomi Super Fast Special,Lokmanya Tilak Terminus,Kamakhya Junction
9100,4152,Mumbai LTT Kanpur Super Fast Special Fare Special,Lokmanya Tilak Terminus,Kanpur Central
9101,11017,Mumbai LTT Karaikal Weekly Express,Lokmanya Tilak Terminus,Karaikal
9102,1017,Mumbai LTT Karaikal Weekly Special,Lokmanya Tilak Terminus,Karaikal
9103,11205,Mumbai LTT Karimnagar Express,Lokmanya Tilak Terminus,Karimnagar
9104,22115,Mumbai LTT Karmali AC Super Fast Express,Lokmanya Tilak Terminus,Karmali
9105,1015,Mumbai LTT Karmali AC Super Fast Special,Lokmanya Tilak Terminus,Karmali
9106,2005,Mumbai LTT Karmali AC Superfast Special,New Delhi,Kalka
9107,1053,Mumbai LTT Karmali Special,Lokmanya Tilak Terminus,Gorakhpur Junction
9108,12201,Mumbai LTT Kochuveli Garib Rath Express,Lokmanya Tilak Terminus,Trivandrum Kochuveli
9109,6163,Mumbai LTT Kochuveli Garib Rath Super Fast Special,Lokmanya Tilak Terminus,Trivandrum Kochuveli
9110,22113,Mumbai LTT Kochuveli Super Fast Express,Lokmanya Tilak Terminus,Trivandrum Kochuveli
9111,1213,Mumbai LTT Kochuveli Super Fast Special,Lokmanya Tilak Terminus,Trivandrum Kochuveli
9112,2121,Mumbai LTT Lucknow AC Special,Lokmanya Tilak Terminus,Lucknow Charbagh NR
9113,22121,Mumbai LTT Lucknow AC Super Fast Express,Lokmanya Tilak Terminus,Lucknow Charbagh NR
9114,2107,Mumbai LTT Lucknow Junction Super Fast Festival Special,Lokmanya Tilak Terminus,Lucknow Junction
9115,11085,Mumbai LTT Madgaon AC Double Decker Express,Lokmanya Tilak Terminus,Madgaon Junction
9116,1085,Mumbai LTT Madgaon AC Double Decker Special,Lokmanya Tilak Terminus,Madgaon Junction
9117,11099,Mumbai LTT Madgaon Weekly AC Double Decker Express,Lokmanya Tilak Terminus,Madgaon Junction
9118,1099,Mumbai LTT Madgaon Weekly AC Double Decker Special,Lokmanya Tilak Terminus,Madgaon Junction
9119,11043,Mumbai LTT Madurai Weekly Express,Lokmanya Tilak Terminus,Madurai Junction
9120,1201,Mumbai LTT Madurai Weekly Super Fast Special,Lokmanya Tilak Terminus,Madurai Junction
9121,12117,Mumbai LTT Manmad Godavari Super Fast Express,Lokmanya Tilak Terminus,Manmad Junction
9122,82119,Mumbai LTT Mau Suvidha Special,Lokmanya Tilak Terminus,Mau Junction
9123,2163,Mumbai LTT MGR Chennai Special Fare Special,Lokmanya Tilak Terminus,Puratchi Thalaivar Dr. MGR Central
9124,12163,Mumbai LTT MGR Chennai Super Fast Express,Lokmanya Tilak Terminus,Puratchi Thalaivar Dr. MGR Central
9125,22179,Mumbai LTT MGR Chennai Weekly Express,Lokmanya Tilak Terminus,Puratchi Thalaivar Dr. MGR Central
9126,11073,Mumbai LTT MGR Chennai Weekly Express,Lokmanya Tilak Terminus,Puratchi Thalaivar Dr. MGR Central
